3 Hari,Harga/3 hari
1,28000.0
2,27666.666666666668
3,27000.0
4,29000.0
5,30000.0
6,30000.0
7,30000.0
8,30000.0
9,30000.0
10,25000.0
11,20000.0
12,20000.0
13,20000.0
14,20000.0
15,20000.0
16,20000.0
17,20000.0
18,20000.0
19,20000.0
20,20000.0
21,20000.0
22,20000.0
23,20000.0
24,20000.0
25,20000.0
26,20000.0
27,20000.0
28,22000.0
29,22000.0
30,22000.0
31,22500.0
32,25000.0
33,25000.0
34,25000.0
35,25000.0
36,25000.0
37,25000.0
38,25000.0
39,25000.0
40,25000.0
41,25000.0
42,25333.333333333332
43,27000.0
44,27000.0
45,27000.0
46,28000.0
47,28000.0
48,28000.0
49,28000.0
50,28000.0
51,28000.0
52,28000.0
53,28000.0
54,28000.0
55,28000.0
56,28000.0
57,28000.0
58,28000.0
59,28000.0
60,28000.0
61,26500.0
62,25000.0
63,25000.0
64,25000.0
65,25000.0
66,25000.0
67,25000.0
68,25000.0
69,25000.0
70,25000.0
71,25000.0
72,25000.0
73,25000.0
74,26666.666666666668
75,25000.0
76,25000.0
77,25000.0
78,25000.0
79,25000.0
80,25000.0
81,25000.0
82,25000.0
83,25000.0
84,25000.0
85,15000.0
86,17000.0
87,17333.333333333332
88,19333.333333333332
89,20000.0
90,20000.0
91,20000.0
92,20666.666666666668
93,22000.0
94,22000.0
95,22000.0
96,22000.0
97,22000.0
98,22000.0
99,25000.0
100,25000.0
101,25000.0
102,25000.0
103,25000.0
104,25000.0
105,25000.0
106,25000.0
107,25000.0
108,25000.0
109,25000.0
110,25000.0
111,25000.0
112,25000.0
113,25000.0
114,25000.0
115,28333.333333333332
116,30000.0
117,30000.0
118,30000.0
119,33333.333333333336
120,35000.0
121,35000.0
122,35000.0
123,35000.0
124,32000.0
125,34000.0
126,30000.0
127,29000.0
128,27666.666666666668
129,27666.666666666668
130,27000.0
131,25000.0
132,25000.0
133,25000.0
134,25000.0
135,25000.0
136,25000.0
137,25000.0
138,30000.0
139,30000.0
140,30000.0
141,30000.0
142,30000.0
143,30000.0
144,30000.0
145,31666.666666666668
146,36666.666666666664
147,45000.0
148,41666.666666666664
149,38333.333333333336
150,39166.666666666664
151,40138.88888888888
152,41250.0
153,42500.0
154,43750.0
155,45000.0
156,46250.0
157,47500.0
158,48750.0
159,50000.0
160,51250.0
161,52500.0
162,53750.0
163,54861.11111111112
164,55000.0
165,51666.666666666664
166,45000.0
167,36666.666666666664
168,35000.0
169,35000.0
170,35000.0
171,33333.333333333336
172,30000.0
173,30000.0
174,30000.0
175,30000.0
176,30833.333333333332
177,35000.0
178,35000.0
179,35000.0
180,35000.0
181,35000.0
182,35000.0
183,35000.0
184,35000.0
185,35666.666666666664
186,37000.0
187,37000.0
188,37000.0
189,36777.77777777778
190,35222.22222222222
191,35000.0
192,35000.0
193,35000.0
194,35000.0
195,32500.0
196,30000.0
197,30000.0
198,30000.0
199,30000.0
200,33000.0
201,32500.0
202,30000.0
203,30000.0
204,30000.0
205,30000.0
206,30000.0
207,30000.0
208,30000.0
209,30000.0
210,30000.0
211,28333.333333333332
212,28000.0
213,28000.0
214,28000.0
215,29000.0
216,29000.0
217,29000.0
218,29000.0
219,29000.0
220,32333.333333333332
221,33666.666666666664
222,34333.333333333336
223,35000.0
224,35000.0
225,35000.0
226,35000.0
227,35000.0
228,35000.0
229,36666.666666666664
230,40000.0
231,40000.0
232,40000.0
233,40000.0
234,38333.333333333336
235,34166.666666666664
236,30000.0
237,30000.0
238,30000.0
239,29333.333333333332
240,29000.0
241,29000.0
242,28000.0
243,28000.0
244,28000.0
245,26666.666666666668
246,27000.0
247,29500.0
248,29333.333333333332
249,28000.0
250,28000.0
251,28000.0
252,28000.0
253,28000.0
254,30000.0
255,31666.666666666668
256,35000.0
257,35000.0
258,35000.0
259,33666.666666666664
260,33000.0
261,39000.0
262,38666.666666666664
263,38333.333333333336
264,34444.444444444445
265,30555.55555555556
266,30000.0
267,30000.0
268,30000.0
269,30000.0
270,32000.0
271,34000.0
272,34666.666666666664
273,35000.0
274,35000.0
275,35333.333333333336
276,36666.666666666664
277,36166.666666666664
278,33333.333333333336
279,34333.333333333336
280,35000.0
281,35000.0
282,34333.333333333336
283,31333.333333333332
284,32000.0
285,30000.0
286,30000.0
287,30000.0
288,28000.0
289,30000.0
290,28000.0
291,23666.666666666668
292,23000.0
293,22666.666666666668
294,22666.666666666668
295,23000.0
296,22666.666666666668
297,22666.666666666668
298,22833.333333333332
299,23666.666666666668
300,23000.0
301,22000.0
302,21333.333333333332
303,18666.666666666668
304,18000.0
305,18000.0
306,18000.0
307,18000.0
308,18000.0
309,18000.0
310,18666.666666666668
311,20000.0
312,20000.0
313,20000.0
314,20000.0
315,20000.0
316,20000.0
317,20000.0
318,20000.0
319,20000.0
320,20000.0
321,20000.0
322,20000.0
323,22500.0
324,25000.0
325,25000.0
326,25000.0
327,25000.0
328,25000.0
329,25000.0
330,25000.0
331,25000.0
332,26000.0
333,26333.333333333332
334,27000.0
335,27000.0
336,27000.0
337,27000.0
338,27000.0
339,27000.0
340,27000.0
341,27000.0
342,27000.0
343,27000.0
344,27000.0
345,27000.0
346,27000.0
347,29500.0
348,30000.0
349,25000.0
350,25000.0
351,25000.0
352,25000.0
353,20000.0
354,20000.0
355,20000.0
356,20000.0
357,20000.0
358,23000.0
359,23000.0
