periode,harga
2021-03,28529.41176470588
2021-04,23833.333333333332
2021-05,20000.0
2021-06,23350.0
2021-07,26000.0
2021-08,28000.0
2021-09,26150.0
2021-10,25161.290322580644
2021-11,22433.333333333332
2021-12,21032.25806451613
2022-01,24806.451612903227
2022-02,26428.571428571428
2022-03,32741.935483870966
2022-04,25733.333333333332
2022-05,33064.51612903226
2022-06,42958.333333333336
2022-07,48588.709677419356
2022-08,32500.0
2022-09,35733.333333333336
2022-10,33112.903225806454
2022-11,30550.0
2022-12,28774.1935483871
2023-01,34870.967741935485
2023-02,35232.142857142855
2023-03,28274.1935483871
2023-04,31233.333333333332
2023-05,33290.32258064516
2023-06,34816.666666666664
2023-07,31354.83870967742
2023-08,23016.129032258064
2023-09,18866.666666666668
2023-10,20000.0
2023-11,23916.666666666668
2023-12,26709.677419354837
2024-01,26951.612903225807
2024-02,22068.96551724138
2024-03,29419.354838709678
2024-04,33600.0
2024-05,40951.6129032258
2024-06,32300.0
2024-07,23709.677419354837
2024-08,18483.870967741936
2024-09,19983.333333333332
2024-10,21833.333333333332
